ticker,entry,exit,shares,opened,closed,reason,pnl,ret
TSM,57.52,56.2,9,2020-02-04,2020-02-07,thesis,-13.880000000000003,-0.02294853963838661
KMB,136.74001,143.84,3,2019-12-19,2020-02-18,trail,19.299969999999973,0.05192328126932266
PG,123.0,126.7,3,2019-10-23,2020-02-21,timeout,9.100000000000009,0.030081300813008083
MSFT,149.31,178.59,3,2019-12-03,2020-02-21,trail,85.84,0.19610206951979103
KO,54.67,58.65,9,2020-01-06,2020-02-24,trail,33.81999999999997,0.07280043899762201
ETN,87.22,98.21,5,2019-10-28,2020-02-25,trail,52.949999999999974,0.1260032102728732
EPAM,199.66,216.96001,2,2019-11-12,2020-02-25,thesis,32.60002000000003,0.08664735049584293
TECL,27.877,23.894,18,2020-02-03,2020-02-25,thesis,-71.69400000000002,-0.1428776410661119
SOXL,19.64,14.71267,26,2020-02-05,2020-02-25,thesis,-128.11058000000003,-0.2508823828920571
LPLA,94.49,84.48,5,2020-02-07,2020-02-25,thesis,-52.049999999999955,-0.10593713620488932
SBUX,90.14,82.19,5,2020-02-19,2020-02-25,thesis,-41.750000000000014,-0.08819613933880632
ROP,362.94,365.0,1,2019-11-26,2020-02-26,thesis,0.060000000000002274,0.005675869289689661
PAYX,85.12,82.28,6,2019-12-27,2020-02-26,thesis,-19.04000000000002,-0.03336466165413543
WEC,91.24,100.29,5,2020-01-03,2020-02-26,trail,43.25000000000006,0.0991889522139413
FAS,98.55,82.57,5,2020-02-04,2020-02-26,thesis,-79.90000000000002,-0.16215119228817865
QLYS,85.46,77.68,5,2019-12-04,2020-02-27,thesis,-40.899999999999935,-0.09103674233559544
VRSK,167.58,155.11,3,2020-02-24,2020-02-28,thesis,-39.41,-0.07441222102876233
NHI,85.07,82.44,6,2020-01-21,2020-03-02,thesis,-17.779999999999973,-0.030915716468790322
ODFL,67.64,66.69334,7,2020-01-29,2020-03-02,thesis,-8.62661999999996,-0.013995564754582968
SJM,105.82,106.74,4,2020-01-30,2020-03-02,thesis,1.6800000000000068,0.008694008694008604
PJT,46.02,46.28,11,2020-01-31,2020-03-02,thesis,0.8599999999999781,0.005649717514124353
HD,231.53999,229.94,2,2020-02-03,2020-03-02,thesis,-5.199979999999982,-0.006910210197383138
KO,58.92,56.74,8,2020-03-04,2020-03-05,thesis,-19.439999999999998,-0.036999321113374006
AON,225.48,216.78,2,2020-03-04,2020-03-05,thesis,-19.399999999999977,-0.03858435337945709
NHI,87.48,85.14,5,2020-03-04,2020-03-06,thesis,-13.700000000000017,-0.026748971193415683
HD,241.080002,228.50999,2,2020-03-04,2020-03-06,thesis,-27.14002400000004,-0.052140417685910045
DXCM,53.1025,66.63,9,2019-12-16,2020-03-09,trail,119.74749999999997,0.2547431853490889
VRSK,169.17999,147.92,3,2020-03-04,2020-03-09,thesis,-65.77997000000005,-0.12566492053817957
NUGT,167.85001,129.75,3,2020-03-05,2020-03-09,thesis,-114.30002999999999,-0.226988428538074
KMB,141.10001,141.020004,3,2020-03-02,2020-03-10,thesis,-2.240017999999992,-0.0005670162603106377
BRO,47.049999,43.65,10,2020-03-04,2020-03-10,thesis,-35.99999000000001,-0.07226352969741834
WEC,102.37,97.45,4,2020-03-09,2020-03-11,thesis,-21.680000000000007,-0.04806095535801502
DXCM,69.795,61.0050011,7,2020-03-10,2020-03-13,thesis,-63.5299923,-0.1259402378393868
SJM,107.84,109.019997,4,2020-03-16,2020-03-19,trail,2.7199880000000007,0.010942108679525164
WEC,102.46,90.41,4,2020-03-17,2020-03-19,thesis,-50.19999999999999,-0.11760687097403866
SJM,111.0,114.19,4,2020-03-31,2020-04-29,trail,10.759999999999991,0.02873873873873878
PJT,43.060001,47.0099983,11,2020-04-21,2020-05-01,trail,41.4499703,0.09173240149251272
TMF,407.70001,410.89999,1,2020-03-24,2020-05-08,thesis,3.1999799999999823,0.007848859262966412
PODD,215.14999,184.58,2,2020-05-07,2020-05-28,thesis,-63.13997999999998,-0.14208687622992677
TEAM,175.31,172.10001,2,2020-05-27,2020-06-04,trail,-8.41998000000001,-0.01831036449717649
SJM,113.93,109.099998,4,2020-05-29,2020-06-04,thesis,-21.32000800000003,-0.042394470288773856
VRSK,154.56,162.69,3,2020-05-15,2020-06-11,trail,22.389999999999986,0.052600931677018625
QLYS,100.7,102.6,4,2020-04-09,2020-06-16,thesis,5.599999999999966,0.018867924528301883
PJT,52.95,48.23,9,2020-06-15,2020-07-07,thesis,-44.480000000000054,-0.08914069877242692
NHI,60.95,57.28,8,2020-06-15,2020-07-08,thesis,-31.360000000000014,-0.06021328958162431
CVS,65.58,62.65,7,2020-06-16,2020-07-10,thesis,-22.509999999999998,-0.04467825556572125
BYDDY,1.96,3.36333,254,2020-04-28,2020-07-15,trail,354.44581999999997,0.7159846938775509
MSFT,180.53,203.92,2,2020-05-14,2020-07-16,trail,44.77999999999997,0.12956295352572966
SOXL,11.43267,13.23133,43,2020-06-15,2020-07-24,trail,77.34237999999999,0.15732632884531794
PAYX,75.050003,72.19,6,2020-06-15,2020-07-24,thesis,-19.160018000000036,-0.038107966498016066
NAIL,27.74,38.95,17,2020-06-15,2020-07-28,trail,190.57000000000008,0.4041095890410962
CAT,123.61,132.88,4,2020-06-15,2020-07-31,trail,35.079999999999984,0.07499393252973063
PODD,202.25,203.94,2,2020-07-15,2020-08-10,trail,1.3799999999999955,0.008355995055624232
AMZN,123.7,154.033493,4,2020-04-30,2020-08-11,trail,119.33397199999996,0.2452182134195633
DXCM,80.85,110.23,6,2020-04-17,2020-08-17,timeout,174.28000000000006,0.36338899196042074
ROP,397.41,431.98999,1,2020-07-08,2020-08-21,trail,32.57998999999995,0.08701338667874481
CB,131.94,121.92,3,2020-07-29,2020-08-21,thesis,-32.05999999999999,-0.07594361073215095
COPX,16.46,20.88,30,2020-06-15,2020-08-25,trail,132.59999999999994,0.26852976913730253
URA,10.64,12.06,47,2020-05-18,2020-09-03,trail,66.74,0.13345864661654128
TECL,20.589,33.619,24,2020-06-15,2020-09-03,trail,312.72,0.6328622079751325
EPAM,216.97,309.35001,2,2020-05-15,2020-09-08,trail,182.76002,0.4257731944508458
ETN,94.65,100.48,5,2020-08-04,2020-09-08,trail,27.14999999999999,0.061595351294241985
JNUG,162.87,140.64999,3,2020-08-17,2020-09-08,thesis,-66.66003,-0.13642788727205746
SOXL,16.39267,14.65733,33,2020-08-21,2020-09-11,thesis,-57.26621999999997,-0.10586072921616785
HD,239.33,280.64999,2,2020-05-15,2020-09-14,timeout,80.63997999999998,0.1726486023482221
LPLA,81.52,78.93,6,2020-08-19,2020-09-17,thesis,-17.539999999999935,-0.03177134445534824
